ibge7;Município;2018
3100104;Abadia dos Dourados;0,599
3100203;Abaeté;0,569
3100302;Abre Campo;0,583
3100401;Acaiaca;0,647
3100500;Açucena;0,480
3100609;Água Boa;0,550
3100708;Água Comprida;0,701
3100807;Aguanil;0,571
3100906;Águas Formosas;0,554
3101003;Águas Vermelhas;0,493
3101102;Aimorés;0,680
3101201;Aiuruoca;0,680
3101300;Alagoa;0,609
3101409;Albertina;0,638
3101508;Além Paraíba;0,544
3101607;Alfenas;0,667
3101631;Alfredo Vasconcelos;0,658
3101706;Almenara;0,574
3101805;Alpercata;0,480
3101904;Alpinópolis;0,684
3102001;Alterosa;0,627
3102050;Alto Caparaó;0,611
3153509;Alto Jequitibá;0,608
3102100;Alto Rio Doce;0,584
3102209;Alvarenga;0,552
3102308;Alvinópolis;0,622
3102407;Alvorada de Minas;0,579
3102506;Amparo da Serra;0,559
3102605;Andradas;0,683
3102803;Andrelândia;0,669
3102852;Angelândia;0,560
3102902;Antônio Carlos;0,650
3103009;Antônio Dias;0,498
3103108;Antônio Prado de Minas;0,635
3103207;Araçaí;0,592
3103306;Aracitaba;0,577
3103405;Araçuaí;0,578
3103504;Araguari;0,702
3103603;Arantina;0,690
3103702;Araponga;0,616
3103751;Araporã;0,721
3103801;Arapuá;0,638
3103900;Araújos;0,588
3104007;Araxá;0,710
3104106;Arceburgo;0,685
3104205;Arcos;0,763
3104304;Areado;0,595
3104403;Argirita;0,575
3104452;Aricanduva;0,612
3104502;Arinos;0,586
3104601;Astolfo Dutra;0,598
3104700;Ataléia;0,471
3104809;Augusto de Lima;0,521
3104908;Baependi;0,636
3105004;Baldim;0,557
3105103;Bambuí;0,590
3105202;Bandeira;0,560
3105301;Bandeira do Sul;0,595
3105400;Barão de Cocais;0,689
3105509;Barão do Monte Alto;0,525
3105608;Barbacena;0,725
3105707;Barra Longa;0,549
3105905;Barroso;0,626
3106002;Bela Vista de Minas;0,588
3106101;Belmiro Braga;0,596
3106200;Belo Horizonte;0,724
3106309;Belo Oriente;0,613
3106408;Belo Vale;0,652
3106507;Berilo;0,575
3106655;Berizal;0,571
3106606;Bertópolis;0,438
3106705;Betim;0,610
3106804;Bias Fortes;0,575
3106903;Bicas;0,683
3107000;Biquinhas;0,541
3107109;Boa Esperança;0,659
3107208;Bocaina de Minas;0,532
3107307;Bocaiúva;0,687
3107406;Bom Despacho;0,730
3107505;Bom Jardim de Minas;0,671
3107604;Bom Jesus da Penha;0,656
3107703;Bom Jesus do Amparo;0,608
3107802;Bom Jesus do Galho;0,523
3107901;Bom Repouso;0,647
3108008;Bom Sucesso;0,657
3108107;Bonfim;0,613
3108206;Bonfinópolis de Minas;0,627
3108255;Bonito de Minas;0,487
3108305;Borda da Mata;0,645
3108404;Botelhos;0,614
3108503;Botumirim;0,597
3108552;Brasilândia de Minas;0,510
3108602;Brasília de Minas;0,636
3108701;Brás Pires;0,647
3108800;Braúnas;0,524
3108909;Brazópolis;0,664
3109006;Brumadinho;0,661
3109105;Bueno Brandão;0,670
3109204;Buenópolis;0,636
3109253;Bugre;0,572
3109303;Buritis;0,541
3109402;Buritizeiro;0,484
3109451;Cabeceira Grande;0,571
3109501;Cabo Verde;0,609
3109600;Cachoeira da Prata;0,598
3109709;Cachoeira de Minas;0,680
3102704;Cachoeira de Pajeú;0,484
3109808;Cachoeira Dourada;0,648
3109907;Caetanópolis;0,606
3110004;Caeté;0,630
3110103;Caiana;0,556
3110202;Cajuri;0,590
3110301;Caldas;0,650
3110400;Camacho;0,551
3110509;Camanducaia;0,646
3110608;Cambuí;0,731
3110707;Cambuquira;0,606
3110806;Campanário;0,495
3110905;Campanha;0,643
3111002;Campestre;0,580
3111101;Campina Verde;0,570
3111150;Campo Azul;0,518
3111200;Campo Belo;0,689
3111309;Campo do Meio;0,580
3111408;Campo Florido;0,522
3111507;Campos Altos;0,594
3111606;Campos Gerais;0,595
3111705;Canaã;0,608
3111804;Canápolis;0,598
3111903;Cana Verde;0,585
3112000;Candeias;0,655
3112059;Cantagalo;0,532
3112109;Caparaó;0,590
3112208;Capela Nova;0,630
3112307;Capelinha;0,621
3112406;Capetinga;0,578
3112505;Capim Branco;0,577
3112604;Capinópolis;0,604
3112653;Capitão Andrade;0,576
3112703;Capitão Enéas;0,552
3112802;Capitólio;0,636
3112901;Caputira;0,543
3113008;Caraí;0,454
3113107;Caranaíba;0,563
3113206;Carandaí;0,651
3113305;Carangola;0,635
3113404;Caratinga;0,640
3113503;Carbonita;0,660
3113602;Careaçu;0,603
3113701;Carlos Chagas;0,544
3113800;Carmésia;0,627
3113909;Carmo da Cachoeira;0,649
3114006;Carmo da Mata;0,604
3114105;Carmo de Minas;0,646
3114204;Carmo do Cajuru;0,680
3114303;Carmo do Paranaíba;0,672
3114402;Carmo do Rio Claro;0,668
3114501;Carmópolis de Minas;0,695
3114550;Carneirinho;0,675
3114600;Carrancas;0,532
3114709;Carvalhópolis;0,702
3114808;Carvalhos;0,589
3114907;Casa Grande;0,542
3115003;Cascalho Rico;0,641
3115102;Cássia;0,636
3115300;Cataguases;0,660
3115359;Catas Altas;0,707
3115409;Catas Altas da Noruega;0,618
3115458;Catuji;0,458
3115474;Catuti;0,491
3115508;Caxambu;0,627
3115607;Cedro do Abaeté;0,602
3115706;Central de Minas;0,549
3115805;Centralina;0,528
3115904;Chácara;0,604
3116001;Chalé;0,582
3116100;Chapada do Norte;0,534
3116159;Chapada Gaúcha;0,593
3116209;Chiador;0,608
3116308;Cipotânea;0,635
3116407;Claraval;0,609
3116506;Claro dos Poções;0,565
3116605;Cláudio;0,719
3116704;Coimbra;0,557
3116803;Coluna;0,509
3116902;Comendador Gomes;0,642
3117009;Comercinho;0,471
3117108;Conceição da Aparecida;0,610
3115201;Conceição da Barra de Minas;0,677
3117306;Conceição das Alagoas;0,636
3117207;Conceição das Pedras;0,624
3117405;Conceição de Ipanema;0,560
3117504;Conceição do Mato Dentro;0,599
3117603;Conceição do Pará;0,593
3117702;Conceição do Rio Verde;0,628
3117801;Conceição dos Ouros;0,703
3117836;Cônego Marinho;0,537
3117876;Confins;0,589
3117900;Congonhal;0,637
3118007;Congonhas;0,723
3118106;Congonhas do Norte;0,602
3118205;Conquista;0,664
3118304;Conselheiro Lafaiete;0,685
3118403;Conselheiro Pena;0,606
3118502;Consolação;0,649
3118601;Contagem;0,657
3118700;Coqueiral;0,637
3118809;Coração de Jesus;0,537
3118908;Cordisburgo;0,656
3119005;Cordislândia;0,536
3119104;Corinto;0,574
3119203;Coroaci;0,528
3119302;Coromandel;0,646
3119401;Coronel Fabriciano;0,637
3119500;Coronel Murta;0,600
3119609;Coronel Pacheco;0,662
3119708;Coronel Xavier Chaves;0,656
3119807;Córrego Danta;0,548
3119906;Córrego do Bom Jesus;0,705
3119955;Córrego Fundo;0,648
3120003;Córrego Novo;0,507
3120102;Couto de Magalhães de Minas;0,593
3120151;Crisólita;0,501
3120201;Cristais;0,601
3120300;Cristália;0,517
3120409;Cristiano Otoni;0,578
3120508;Cristina;0,669
3120607;Crucilândia;0,641
3120706;Cruzeiro da Fortaleza;0,622
3120805;Cruzília;0,640
3120839;Cuparaque;0,558
3120870;Curral de Dentro;0,521
3120904;Curvelo;0,662
3121001;Datas;0,568
3121100;Delfim Moreira;0,653
3121209;Delfinópolis;0,589
3121258;Delta;0,565
3121308;Descoberto;0,632
3121407;Desterro de Entre Rios;0,616
3121506;Desterro do Melo;0,708
3121605;Diamantina;0,687
3121704;Diogo de Vasconcelos;0,580
3121803;Dionísio;0,603
3121902;Divinésia;0,564
3122009;Divino;0,572
3122108;Divino das Laranjeiras;0,490
3122207;Divinolândia de Minas;0,591
3122306;Divinópolis;0,622
3122355;Divisa Alegre;0,507
3122405;Divisa Nova;0,633
3122454;Divisópolis;0,596
3122470;Dom Bosco;0,591
3122504;Dom Cavati;0,642
3122603;Dom Joaquim;0,584
3122702;Dom Silvério;0,686
3122801;Dom Viçoso;0,631
3122900;Dona Euzébia;0,679
3123007;Dores de Campos;0,633
3123106;Dores de Guanhães;0,583
3123205;Dores do Indaiá;0,669
3123304;Dores do Turvo;0,546
3123403;Doresópolis;0,622
